Ranking,Cancion,Artista,Semanas en el ranking,Streams,plataforma,semana,País
10,As It Was,Harry Styles,8.0,1138130.0,youtube music,20-05-2022/26-05-2022,Perú
11,Una Noche en Medellín,Cris Mj,14.0,1136763.0,youtube music,20-05-2022/26-05-2022,Perú
12,Envolver,Anitta,12.0,1072772.0,youtube music,20-05-2022/26-05-2022,Perú
13,Moscow Mule,Bad Bunny,3.0,1071270.0,youtube music,20-05-2022/26-05-2022,Perú
14,París,Morat & Duki,1.0,948263.0,youtube music,20-05-2022/26-05-2022,Perú
15,Jordan,Ryan Castro,18.0,912683.0,youtube music,20-05-2022/26-05-2022,Perú
16,Tiroteo (Remix),"Marc Seguí, Rauw Alejandro & Pol Granch",48.0,820010.0,youtube music,20-05-2022/26-05-2022,Perú
17,San Lucas,Kevin Kaarl,9.0,792516.0,youtube music,20-05-2022/26-05-2022,Perú
18,Mix Zúmbalo (En Vivo),Corazón Serrano,24.0,766668.0,youtube music,20-05-2022/26-05-2022,Perú
19,La Llevo Al Cielo,"Chencho Corleone, Chris Jedi, Anuel AA & Ñengo Flow",1.0,697266.0,youtube music,20-05-2022/26-05-2022,Perú
20,Tacones Rojos,Sebastián Yatra,31.0,691916.0,youtube music,20-05-2022/26-05-2022,Perú
21,Me Fui de Vacaciones,Bad Bunny,3.0,684708.0,youtube music,20-05-2022/26-05-2022,Perú
22,Pégate,Standly,13.0,662727.0,youtube music,20-05-2022/26-05-2022,Perú
23,Fuera del mercado,Danny Ocean,12.0,624628.0,youtube music,20-05-2022/26-05-2022,Perú
24,Olvídame,Corazón Serrano,34.0,603790.0,youtube music,20-05-2022/26-05-2022,Perú
25,Andrea,Bad Bunny & Buscabulla,3.0,590871.0,youtube music,20-05-2022/26-05-2022,Perú
26,That That (feat. SUGA),PSY,4.0,578343.0,youtube music,20-05-2022/26-05-2022,Perú
27,Only Love Can Hurt Like This,Paloma Faith,5.0,577530.0,youtube music,20-05-2022/26-05-2022,Perú
28,Después de la Playa,Bad Bunny,3.0,566536.0,youtube music,20-05-2022/26-05-2022,Perú
29,"Cnv Sound, Vol. 14",Pure Negga,4.0,542802.0,youtube music,20-05-2022/26-05-2022,Perú
30,Plan A,Paulo Londra,10.0,538420.0,youtube music,20-05-2022/26-05-2022,Perú
